Time,DEM,p_b1,p_b2,p_b3,tarif,DEM90,DEM55,DEM170
30600,1.283333,1.0,0.0,0.0,0.1814,1.283333,1.283333,1.283333
30900,1.286111,1.0,0.0,0.0,0.3528,1.286111,1.286111,1.286111
31200,1.288889,0.0,0.0,0.0,0.3528,1.288889,1.288889,1.288889
31500,1.291667,0.0,0.0,0.0,0.3528,1.291667,1.291667,1.291667
31800,1.294444,1.0,1.0,0.0,0.3528,1.294444,1.294444,1.294444
32100,1.297222,1.0,1.0,1.0,0.3528,1.297222,1.297222,1.297222
32400,1.3,1.0,1.0,1.0,0.3528,1.3,1.3,1.3
32700,1.297222,0.0,0.0,0.0,0.3528,1.297222,1.297222,1.297222
33000,1.294444,1.0,1.0,0.0,0.3528,1.294444,1.294444,1.294444
33300,1.291667,1.0,1.0,0.0,0.3528,1.291667,1.291667,1.291667
33600,1.288889,1.0,1.0,0.0,0.3528,1.288889,1.288889,1.288889
33900,1.286111,0.0,0.0,1.0,0.8097,1.286111,1.286111,1.286111
34200,1.283333,0.0,0.0,0.0,0.8097,1.283333,1.283333,1.283333
34500,1.280556,0.0,0.0,0.0,0.8097,1.280556,1.280556,1.280556
34800,1.277778,0.0,0.0,0.0,0.8097,1.277778,1.277778,1.277778
35100,1.275,1.0,0.0,1.0,0.1814,1.275,1.275,1.275
35400,1.272222,1.0,0.0,0.0,0.1814,1.272222,1.272222,1.272222
35700,1.269444,0.0,0.0,0.0,0.1814,1.269444,1.269444,1.269444
36000,1.266667,1.0,1.0,0.0,0.1814,1.266667,1.266667,1.266667
36300,1.263889,1.0,0.0,0.0,0.1814,1.263889,1.263889,1.263889
36600,1.261111,1.0,0.0,0.0,0.1814,1.261111,1.261111,1.261111
36900,1.258333,1.0,1.0,0.0,0.1814,1.258333,1.258333,1.258333
37200,1.255556,1.0,0.0,0.0,0.1814,1.255556,1.255556,1.255556
37500,1.252778,1.0,0.0,0.0,0.1814,1.252778,1.252778,1.252778
37800,1.25,1.0,0.0,0.0,0.1814,1.25,1.25,1.25
38100,1.247222,1.0,0.0,0.0,0.3528,1.247222,1.247222,1.247222
38400,1.244444,0.0,0.0,0.0,0.3528,1.244444,1.244444,1.244444
38700,1.241667,0.0,0.0,0.0,0.3528,1.241667,1.241667,1.241667
39000,1.238889,1.0,1.0,0.0,0.3528,1.238889,1.238889,1.238889
39300,1.236111,1.0,1.0,1.0,0.3528,1.236111,1.236111,1.236111
39600,1.233333,1.0,1.0,1.0,0.3528,1.233333,1.233333,1.233333
39900,1.230556,0.0,0.0,0.0,0.3528,1.230556,1.230556,1.230556
40200,1.227778,1.0,1.0,0.0,0.3528,1.227778,1.227778,1.227778
40500,1.225,1.0,1.0,0.0,0.3528,1.225,1.225,1.225
40800,1.222222,1.0,1.0,0.0,0.3528,1.222222,1.222222,1.222222
41100,1.219444,0.0,0.0,1.0,0.8097,1.219444,1.219444,1.219444
41400,1.216667,0.0,0.0,0.0,0.8097,1.216667,1.216667,1.216667
41700,1.213889,0.0,0.0,0.0,0.8097,1.213889,1.213889,1.213889
42000,1.211111,0.0,0.0,0.0,0.8097,1.211111,1.211111,1.211111
42300,1.208333,1.0,0.0,1.0,0.1814,1.208333,1.208333,1.208333
42600,1.205556,1.0,0.0,0.0,0.1814,1.205556,1.205556,1.205556
42900,1.202778,0.0,0.0,0.0,0.1814,1.202778,1.202778,1.202778
43200,1.2,1.0,1.0,0.0,0.1814,1.2,1.2,1.2
43500,1.194444,1.0,0.0,0.0,0.1814,1.194444,1.194444,1.194444
43800,1.188889,1.0,0.0,0.0,0.1814,1.188889,1.188889,1.188889
44100,1.183333,1.0,1.0,0.0,0.1814,1.183333,1.183333,1.183333
44400,1.177778,1.0,0.0,0.0,0.1814,1.177778,1.177778,1.177778
44700,1.172222,1.0,0.0,0.0,0.1814,1.172222,1.172222,1.172222
45000,1.166667,1.0,0.0,0.0,0.1814,1.166667,1.166667,1.166667
45300,1.161111,1.0,0.0,0.0,0.3528,1.161111,1.161111,1.161111
45600,1.155556,0.0,0.0,0.0,0.3528,1.155556,1.155556,1.155556
45900,1.15,0.0,0.0,0.0,0.3528,1.15,1.15,1.15
46200,1.144444,1.0,1.0,0.0,0.3528,1.144444,1.144444,1.144444
46500,1.138889,1.0,1.0,1.0,0.3528,1.138889,1.138889,1.138889
46800,1.133333,1.0,1.0,1.0,0.3528,1.133333,1.133333,1.133333
47100,1.127778,0.0,0.0,0.0,0.3528,1.127778,1.127778,1.127778
47400,1.122222,1.0,1.0,0.0,0.3528,1.122222,1.122222,1.122222
47700,1.116667,1.0,1.0,0.0,0.3528,1.116667,1.116667,1.116667
48000,1.111111,1.0,1.0,0.0,0.3528,1.111111,1.111111,1.111111
48300,1.105556,0.0,0.0,1.0,0.8097,1.105556,1.105556,1.105556
48600,1.1,0.0,0.0,0.0,0.8097,1.1,1.1,1.1
48900,1.094444,0.0,0.0,0.0,0.8097,1.094444,1.094444,1.094444
49200,1.088889,0.0,0.0,0.0,0.8097,1.088889,1.088889,1.088889
49500,1.083333,1.0,0.0,1.0,0.1814,1.083333,1.083333,1.083333
49800,1.077778,1.0,0.0,0.0,0.1814,1.077778,1.077778,1.077778
50100,1.072222,0.0,0.0,0.0,0.1814,1.072222,1.072222,1.072222
50400,1.066667,1.0,1.0,0.0,0.1814,1.066667,1.066667,1.066667
50700,1.061111,1.0,0.0,0.0,0.1814,1.061111,1.061111,1.061111
51000,1.055556,1.0,0.0,0.0,0.1814,1.055556,1.055556,1.055556
51300,1.05,1.0,1.0,0.0,0.1814,1.05,1.05,1.05
51600,1.044444,1.0,0.0,0.0,0.1814,1.044444,1.044444,1.044444
51900,1.038889,1.0,0.0,0.0,0.1814,1.038889,1.038889,1.038889
52200,1.033333,1.0,0.0,0.0,0.1814,1.033333,1.033333,1.033333
52500,1.027778,1.0,0.0,0.0,0.3528,1.027778,1.027778,1.027778
52800,1.022222,0.0,0.0,0.0,0.3528,1.022222,1.022222,1.022222
53100,1.016667,0.0,0.0,0.0,0.3528,1.016667,1.016667,1.016667
53400,1.011111,1.0,1.0,0.0,0.3528,1.011111,1.011111,1.011111
53700,1.005556,1.0,1.0,1.0,0.3528,1.005556,1.005556,1.005556
54000,1.0,1.0,1.0,1.0,0.3528,1.0,1.0,1.0
54300,0.997222,0.0,0.0,0.0,0.3528,0.997222,0.997222,0.997222
54600,0.994444,1.0,1.0,0.0,0.3528,0.994444,0.994444,0.994444
54900,0.991667,1.0,1.0,0.0,0.3528,0.991667,0.991667,0.991667
55200,0.988889,1.0,1.0,0.0,0.3528,0.988889,0.988889,0.988889
55500,0.986111,0.0,0.0,1.0,0.8097,0.986111,0.986111,0.986111
55800,0.983333,0.0,0.0,0.0,0.8097,0.983333,0.983333,0.983333
56100,0.980556,0.0,0.0,0.0,0.8097,0.980556,0.980556,0.980556
56400,0.977778,0.0,0.0,0.0,0.8097,0.977778,0.977778,0.977778
56700,0.975,1.0,0.0,1.0,0.1814,0.975,0.975,0.975
57000,0.972222,1.0,0.0,0.0,0.1814,0.972222,0.972222,0.972222
57300,0.969444,0.0,0.0,0.0,0.1814,0.969444,0.969444,0.969444
57600,0.966667,1.0,1.0,0.0,0.1814,0.966667,0.966667,0.966667
57900,0.963889,1.0,0.0,0.0,0.1814,0.963889,0.963889,0.963889
58200,0.961111,1.0,0.0,0.0,0.1814,0.961111,0.961111,0.961111
58500,0.958333,1.0,1.0,0.0,0.1814,0.958333,0.958333,0.958333
58800,0.955556,1.0,0.0,0.0,0.1814,0.955556,0.955556,0.955556
59100,0.952778,1.0,0.0,0.0,0.1814,0.952778,0.952778,0.952778
59400,0.95,1.0,0.0,0.0,0.1814,0.95,0.95,0.95
59700,0.947222,1.0,0.0,0.0,0.3528,0.947222,0.947222,0.947222
60000,0.944444,0.0,0.0,0.0,0.3528,0.944444,0.944444,0.944444
60300,0.941667,0.0,0.0,0.0,0.3528,0.941667,0.941667,0.941667
60600,0.938889,1.0,1.0,0.0,0.3528,0.938889,0.938889,0.938889
60900,0.936111,1.0,1.0,1.0,0.3528,0.936111,0.936111,0.936111
61200,0.933333,1.0,1.0,1.0,0.3528,0.933333,0.933333,0.933333
61500,0.930556,0.0,0.0,0.0,0.3528,0.930556,0.930556,0.930556
61800,0.927778,1.0,1.0,0.0,0.3528,0.927778,0.927778,0.927778
62100,0.925,1.0,1.0,0.0,0.3528,0.925,0.925,0.925
62400,0.922222,1.0,1.0,0.0,0.3528,0.922222,0.922222,0.922222
62700,0.919444,0.0,0.0,1.0,0.8097,0.919444,0.919444,0.919444
63000,0.916667,0.0,0.0,0.0,0.8097,0.916667,0.916667,0.916667
63300,0.913889,0.0,0.0,0.0,0.8097,0.913889,0.913889,0.913889
63600,0.911111,0.0,0.0,0.0,0.8097,0.911111,0.911111,0.911111
63900,0.908333,1.0,0.0,1.0,0.1814,0.908333,0.908333,0.908333
64200,0.905556,1.0,0.0,0.0,0.1814,0.905556,0.905556,0.905556
64500,0.902778,0.0,0.0,0.0,0.1814,0.902778,0.902778,0.902778
64800,0.9,1.0,1.0,0.0,0.1814,0.9,0.9,0.9
65100,0.894444,1.0,0.0,0.0,0.1814,0.894444,0.894444,0.894444
65400,0.888889,1.0,0.0,0.0,0.1814,0.888889,0.888889,0.888889
65700,0.883333,1.0,1.0,0.0,0.1814,0.883333,0.883333,0.883333
66000,0.877778,1.0,0.0,0.0,0.1814,0.877778,0.877778,0.877778
66300,0.872222,1.0,0.0,0.0,0.1814,0.872222,0.872222,0.872222
66600,0.866667,1.0,0.0,0.0,0.1814,0.866667,0.866667,0.866667
66900,0.861111,1.0,0.0,0.0,0.3528,0.861111,0.861111,0.861111
67200,0.855556,0.0,0.0,0.0,0.3528,0.855556,0.855556,0.855556
67500,0.85,0.0,0.0,0.0,0.3528,0.85,0.85,0.85
67800,0.844444,1.0,1.0,0.0,0.3528,0.844444,0.844444,0.844444
68100,0.838889,1.0,1.0,1.0,0.3528,0.838889,0.838889,0.838889
68400,0.833333,1.0,1.0,1.0,0.3528,0.833333,0.833333,0.833333
68700,0.827778,0.0,0.0,0.0,0.3528,0.827778,0.827778,0.827778
69000,0.822222,1.0,1.0,0.0,0.3528,0.822222,0.822222,0.822222
69300,0.816667,1.0,1.0,0.0,0.3528,0.816667,0.816667,0.816667
69600,0.811111,1.0,1.0,0.0,0.3528,0.811111,0.811111,0.811111
69900,0.805556,0.0,0.0,1.0,0.8097,0.805556,0.805556,0.805556
70200,0.8,0.0,0.0,0.0,0.8097,0.8,0.8,0.8
70500,0.794444,0.0,0.0,0.0,0.8097,0.794444,0.794444,0.794444
70800,0.788889,0.0,0.0,0.0,0.8097,0.788889,0.788889,0.788889
71100,0.783333,1.0,0.0,1.0,0.1814,0.783333,0.783333,0.783333
71400,0.777778,1.0,0.0,0.0,0.1814,0.777778,0.777778,0.777778
71700,0.772222,0.0,0.0,0.0,0.1814,0.772222,0.772222,0.772222
72000,0.766667,1.0,1.0,0.0,0.1814,0.766667,0.766667,0.766667
72300,0.761111,1.0,0.0,0.0,0.1814,0.761111,0.761111,0.761111
72600,0.755556,1.0,0.0,0.0,0.1814,0.755556,0.755556,0.755556
72900,0.75,1.0,1.0,0.0,0.1814,0.75,0.75,0.75
73200,0.744444,1.0,0.0,0.0,0.1814,0.744444,0.744444,0.744444
73500,0.738889,1.0,0.0,0.0,0.1814,0.738889,0.738889,0.738889
73800,0.733333,1.0,0.0,0.0,0.1814,0.733333,0.733333,0.733333
74100,0.727778,1.0,0.0,0.0,0.3528,0.727778,0.727778,0.727778
74400,0.722222,0.0,0.0,0.0,0.3528,0.722222,0.722222,0.722222
74700,0.716667,0.0,0.0,0.0,0.3528,0.716667,0.716667,0.716667
75000,0.711111,1.0,1.0,0.0,0.3528,0.711111,0.711111,0.711111
75300,0.705556,1.0,1.0,1.0,0.3528,0.705556,0.705556,0.705556
75600,0.7,1.0,1.0,1.0,0.3528,0.7,0.7,0.7
75900,0.7,0.0,0.0,0.0,0.3528,0.7,0.7,0.7
76200,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
76500,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
76800,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
77100,0.7,0.0,0.0,1.0,0.8097,0.7,0.7,0.7
77400,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
77700,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
78000,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
78300,0.7,1.0,0.0,1.0,0.1814,0.7,0.7,0.7
78600,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
78900,0.7,0.0,0.0,0.0,0.1814,0.7,0.7,0.7
79200,0.7,1.0,1.0,0.0,0.1814,0.7,0.7,0.7
79500,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
79800,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
80100,0.7,1.0,1.0,0.0,0.1814,0.7,0.7,0.7
80400,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
80700,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
81000,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
81300,0.7,1.0,0.0,0.0,0.3528,0.7,0.7,0.7
81600,0.7,0.0,0.0,0.0,0.3528,0.7,0.7,0.7
81900,0.7,0.0,0.0,0.0,0.3528,0.7,0.7,0.7
82200,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
82500,0.7,1.0,1.0,1.0,0.3528,0.7,0.7,0.7
82800,0.7,1.0,1.0,1.0,0.3528,0.7,0.7,0.7
83100,0.7,0.0,0.0,0.0,0.3528,0.7,0.7,0.7
83400,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
83700,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
84000,0.7,1.0,1.0,0.0,0.3528,0.7,0.7,0.7
84300,0.7,0.0,0.0,1.0,0.8097,0.7,0.7,0.7
84600,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
84900,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
85200,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
85500,0.7,1.0,0.0,1.0,0.1814,0.7,0.7,0.7
85800,0.7,1.0,0.0,0.0,0.1814,0.7,0.7,0.7
86100,0.7,0.0,0.0,0.0,0.1814,0.7,0.7,0.7
86400,0.7,1.0,1.0,0.0,0.1814,0.7,0.7,0.7
